Addr,Addr (Hex),Name,Val (hex),Comments
0,0,Vendor ID LSB,24,
1,1,Vendor ID MSB,4,
2,2,Product ID LSB,14,
3,3,Product ID MSB,25,
4,4,Device ID LSB,B3,
5,5,Device ID MSB,0B,
6,6,Configuration Data Byte 1,15,
7,7,Configuration Data Byte 2,20,
8,8,Configuration Data Byte 3,0,
9,9,Non-Removable Devices,10,
10,0A,Port Disable (Self),0,
11,0B,Port Disable (Bus),0,
12,0C,Max Power (Self),1,
13,0D,Max Power (Bus),32,
14,0E,Hub Controller Max Current (Self),1,
15,0F,Hub Controller Max Current (Bus),32,
16,10,Power-on Time,32,
17,11,Language ID High,0,
18,12,Language ID Low,0,
19,13,Manufacturer String Length,0,
20,14,Product String Length,0,
21,15,Serial String Length,0,
22,16,Manufacturer String,0,
23,17,,0,
24,18,,0,
25,19,,0,
26,1A,,0,
27,1B,,0,
28,1C,,0,
29,1D,,0,
30,1E,,0,
31,1F,,0,
32,20,,0,
33,21,,0,
34,22,,0,
35,23,,0,
36,24,,0,
37,25,,0,
38,26,,0,
39,27,,0,
40,28,,0,
41,29,,0,
42,2A,,0,
43,2B,,0,
44,2C,,0,
45,2D,,0,
46,2E,,0,
47,2F,,0,
48,30,,0,
49,31,,0,
50,32,,0,
51,33,,0,
52,34,,0,
53,35,,0,
54,36,,0,
55,37,,0,
56,38,,0,
57,39,,0,
58,3A,,0,
59,3B,,0,
60,3C,,0,
61,3D,,0,
62,3E,,0,
63,3F,,0,
64,40,,0,
65,41,,0,
66,42,,0,
67,43,,0,
68,44,,0,
69,45,,0,
70,46,,0,
71,47,,0,
72,48,,0,
73,49,,0,
74,4A,,0,
75,4B,,0,
76,4C,,0,
77,4D,,0,
78,4E,,0,
79,4F,,0,
80,50,,0,
81,51,,0,
82,52,,0,
83,53,,0,
84,54,Product String,0,
85,55,,0,
86,56,,0,
87,57,,0,
88,58,,0,
89,59,,0,
90,5A,,0,
91,5B,,0,
92,5C,,0,
93,5D,,0,
94,5E,,0,
95,5F,,0,
96,60,,0,
97,61,,0,
98,62,,0,
99,63,,0,
100,64,,0,
101,65,,0,
102,66,,0,
103,67,,0,
104,68,,0,
105,69,,0,
106,6A,,0,
107,6B,,0,
108,6C,,0,
109,6D,,0,
110,6E,,0,
111,6F,,0,
112,70,,0,
113,71,,0,
114,72,,0,
115,73,,0,
116,74,,0,
117,75,,0,
118,76,,0,
119,77,,0,
120,78,,0,
121,79,,0,
122,7A,,0,
123,7B,,0,
124,7C,,0,
125,7D,,0,
126,7E,,0,
127,7F,,0,
128,80,,0,
129,81,,0,
130,82,,0,
131,83,,0,
132,84,,0,
133,85,,0,
134,86,,0,
135,87,,0,
136,88,,0,
137,89,,0,
138,8A,,0,
139,8B,,0,
140,8C,,0,
141,8D,,0,
142,8E,,0,
143,8F,,0,
144,90,,0,
145,91,,0,
146,92,Serial String,0,
147,93,,0,
148,94,,0,
149,95,,0,
150,96,,0,
151,97,,0,
152,98,,0,
153,99,,0,
154,9A,,0,
155,9B,,0,
156,9C,,0,
157,9D,,0,
158,9E,,0,
159,9F,,0,
160,A0,,0,
161,A1,,0,
162,A2,,0,
163,A3,,0,
164,A4,,0,
165,A5,,0,
166,A6,,0,
167,A7,,0,
168,A8,,0,
169,A9,,0,
170,AA,,0,
171,AB,,0,
172,AC,,0,
173,AD,,0,
174,AE,,0,
175,AF,,0,
176,B0,,0,
177,B1,,0,
178,B2,,0,
179,B3,,0,
180,B4,,0,
181,B5,,0,
182,B6,,0,
183,B7,,0,
184,B8,,0,
185,B9,,0,
186,BA,,0,
187,BB,,0,
188,BC,,0,
189,BD,,0,
190,BE,,0,
191,BF,,0,
192,C0,,0,
193,C1,,0,
194,C2,,0,
195,C3,,0,
196,C4,,0,
197,C5,,0,
198,C6,,0,
199,C7,,0,
200,C8,,0,
201,C9,,0,
202,CA,,0,
203,CB,,0,
204,CC,,0,
205,CD,,0,
206,CE,,0,
207,CF,,0,
208,D0,Battery Charging Enable,0,
209,D1,,0,
210,D2,,0,
211,D3,,0,
212,D4,,0,
213,D5,,0,
214,D6,,0,
215,D7,,0,
216,D8,,0,
217,D9,,0,
218,DA,,0,
219,DB,,0,
220,DC,,0,
221,DD,,0,
222,DE,,0,
223,DF,,0,
224,E0,rsvd,0,
225,E1,,0,
226,E2,,0,
227,E3,,0,
228,E4,,0,
229,E5,,0,
230,E6,,0,
231,E7,,0,
232,E8,,0,
233,E9,,0,
234,EA,,0,
235,EB,,0,
236,EC,,0,
237,ED,,0,
238,EE,,0,
239,EF,,0,
240,F0,,0,
241,F1,,0,
242,F2,,0,
243,F3,,0,
244,F4,,0,
245,F5,rsvd,0,
246,F6,Boost_Up,3,
247,F7,rsvd,0,
248,F8,Boost_x:0,0,
249,F9,rsvd,0,
250,FA,Port Swap,0,
251,FB,Port Map 12,0,
252,FC,Port Map 34,0,
253,FD,rsvd,0,
254,FE,rsvd,0,
255,FF,Status/Command,1,
